,Recipe_id,Total_Grams,Num_comensales,Categoria
515,10985,745.0,8.0,Recetas de Postres
516,10994,277.5,8.0,Recetas de Salsas
517,11016,563.0,4.0,Recetas de Aves y caza
518,11020,317.0,4.0,Recetas de Salsas
519,11032,460.0,8.0,Recetas de Postres
520,11038,1586.0,4.0,Recetas de Verduras
521,11039,1881.0,6.0,Recetas de Pasta
522,11071,1294.0,8.0,Recetas de Mariscos
523,11086,2665.5,16.0,Recetas de Huevos y lácteos
524,11088,1450.0,10.0,Recetas de Postres
525,11127,982.0,6.0,Recetas de Pan y bollería
526,11136,630.5,12.0,Recetas de Postres
527,11161,1782.0,6.0,Recetas de Postres
528,11166,710.0,7.0,Recetas de Verduras
529,11180,1520.0,12.0,Recetas de Postres
530,11189,1427.0,6.0,Recetas de Carne
531,11191,125.0,8.0,Recetas de Postres
532,11199,1040.0,4.0,Recetas de Huevos y lácteos
533,11221,1027.0,6.0,Recetas de Postres
534,11231,1381.0,8.0,Recetas de Sopas y cremas
535,11251,665.0,8.0,Recetas de Postres
536,11252,698.0,6.0,Recetas de Aperitivos y tapas
537,11256,339.5,6.0,Recetas de Mariscos
538,11287,641.75,2.0,Recetas de Huevos y lácteos
539,11288,475.0,2.0,Recetas de Postres
540,11296,4740.42857,2.0,Recetas de Sopas y cremas
541,11313,1105.0,4.0,Recetas de Huevos y lácteos
542,11325,582.0,2.0,Recetas de Aperitivos y tapas
543,11331,1847.0,4.0,Recetas de Aperitivos y tapas
544,11347,646.0,4.0,Recetas de Pan y bollería
545,11348,587.0,5.0,Recetas de Verduras
546,11350,585.5,10.0,Recetas de Mariscos
547,11354,502.0,20.0,Recetas de Verduras
548,11355,1528.0,10.0,Recetas de Verduras
549,11360,820.0,6.0,Recetas de Huevos y lácteos
550,11365,1085.0,6.0,Recetas de Postres
551,11366,1490.0,8.0,Recetas de Aves y caza
552,11374,1821.0,4.0,Recetas de Postres
553,11385,1256.0,6.0,Recetas de Postres
554,11398,1257.0,6.0,Recetas de Carne
555,11402,2551.5,6.0,Recetas de Verduras
556,11427,1012.0,8.0,Recetas de Huevos y lácteos
557,11440,342.0,6.0,Recetas de Verduras
558,11441,990.0,4.0,Recetas de Postres
559,11467,1517.5,6.0,Recetas de Postres
560,11473,3170.0,8.0,Recetas de Verduras
561,11478,2832.0,6.0,Recetas de Aves y caza
562,11502,1574.5,1.0,Recetas de Pescado
563,11526,1489.0,2.0,Cócteles y bebidas
564,11529,1356.0,12.0,Recetas de Postres
565,11543,1875.0,6.0,Recetas de Verduras
566,11560,1956.5,10.0,Cócteles y bebidas
567,11566,333.5,10.0,Cócteles y bebidas
568,11570,2164.0,4.0,Recetas de Verduras
569,11584,211.0,6.0,Recetas de Aperitivos y tapas
570,11593,1135.0,1.0,Cócteles y bebidas
571,11596,284.5,4.0,Recetas de Mariscos
572,11606,915.0,8.0,Recetas de Pan y bollería
573,11616,799.0,4.0,Recetas de Legumbres
574,11623,2184.0,6.0,Recetas de Verduras
575,11685,552.5,6.0,Recetas de Postres
576,11704,559.85714,8.0,Recetas de Pescado
577,11709,2355.0,,Recetas de Carne
578,11741,754.0,6.0,Recetas de Postres
579,11750,1441.0,6.0,Recetas de Carne
580,11802,1739.0,8.0,Recetas de Sopas y cremas
581,11809,3191.0,10.0,Recetas de Sopas y cremas
