indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
896,Pasta de sésamo,Otros,0.0,593,58.0,18.2,4.7,7.9,0.9,,21.7,25.5,8.3,,,,,,0.0,,,,,1.2e-05,0.0,0.0025299999999999997,9.7e-05,0.005,0.00017,0.00093,0.0,0.00075,0.0,0.67,0.0104,0.57,0.37,0.02,0.72,,,0.0053
897,"Patatas chips, ""lights""",Otros,0.0,459,22.25,7.05,1.1,8.85,57.0991,,8.1812,6.7495,6.3404,,,,,,0.0,,,,,3.333e-07,0.0,0.00177,4.1e-05,0.005,0.00014000000000000001,0.00019,0.0,0.00053,0.014,0.036,0.0018,1.06,0.048,0.885,0.13,2.6e-06,8.1e-06,0.0009
898,"Patatas, fritas, chips",Otros,0.0,538,34.9,6.5,1.7,4.0,49.5,,11.08,14.52,7.7,0.035,0.141,6.371,1.901,10.243,0.0,14.819,1.302,,,0.0,0.0,0.004,4.3e-05,0.004,0.0001,0.00017,0.0,0.0007,0.01,0.037,0.002,1.19,0.05,0.7,0.13,6e-06,2.3e-06,0.0007
899,Perejil,Otros,0.0,35,1.3,3.0,88.0,5.0,2.7,,1e-12,1e-12,1e-12,,,,,,0.0,,,,,0.000673,0.0,0.0017,0.00017,0.0015,5e-05,0.00023,0.0,8.999999999999999e-05,0.19,0.2,0.0077,0.76,0.023,0.033,0.064,6e-06,1.4e-06,0.0007
900,Pimentón,Otros,0.0,331,13.0,14.8,11.24,20.0,38.0,,1.695,7.766,2.14,,,,,,0.0,,,,,0.006042,0.0,0.009,0.0,0.0184,0.00174,0.00065,0.0,0.002141,0.0,0.18,0.023600000000000003,2.34,0.19,0.034,0.35,,4e-06,0.0040999999999999995
901,"Pimienta",Otros,0.0,232,2.1,10.4,17.0,26.2,42.4,,0.79,0.62,0.63,,,,,,0.0,,,,,0.0,0.0,0.0025,1e-05,0.0002,0.00013000000000000002,2e-05,0.0,0.00034,0.021,0.266,0.0143,0.073,0.09,0.005,0.176,,3e-06,0.0011
902,"Pimienta negra",Otros,0.0,230,3.3,11.0,18.0,26.5,38.3,,1.01,1.13,0.98,,,,,,0.0,,,,,1.9e-05,0.0,0.00103,1e-05,0.0011,0.00023999999999999998,0.00011,0.0,0.00034,0.021,0.437,0.0289,1.259,0.194,0.044,0.173,,3e-06,0.0014199999999999998
903,"Pizza, precocinada",Otros,0.0,211,9.8,8.2,56.0,1.7,22.2,,3.21,1.99,4.12,0.1764,0.5096,2.421,1.029,2.901,0.016,2.009,0.0392,,,9e-05,1e-12,0.00054,2.4e-05,0.0014,0.00023,0.00025,3e-07,0.00011,0.003,0.118,0.0013,0.201,0.019,0.52,0.179,7.1e-06,4.6e-06,0.0009
904,Pudding de pasas,Otros,0.0,297,9.7,4.6,35.5,3.0,47.2,,4.0,0.7,4.5,,,,,,0.045,,,,,2.45e-05,2.0000000000000002e-07,0.00064,8e-06,0.0017,8e-05,8e-05,0.0,8e-05,1e-12,0.079,0.0015,0.35,0.027,0.2,0.076,2.8e-06,7e-06,0.0005
905,Rollito de primavera,Otros,0.0,251,11.94,8.28,50.6,2.6,27.29,,3.036,5.601,2.116,,,,,,0.016,,,,,1.2e-06,0.0,2e-05,8e-06,0.002725,7.7e-05,0.000165,4.4e-07,0.00016700000000000002,0.0,0.04,0.00141,0.165,0.018,0.468,0.085,2.7e-06,0.0,0.00062
906,Romero,Otros,0.0,345,15.2,5.0,9.3,24.1,46.4,,3.014,2.34,7.37,,,,,,,,,,,0.000313,0.0,0.0,0.0,0.001,0.0,0.0005,0.0,0.0,0.05,0.317,0.0289,0.55,0.15,0.05,0.05,,,0.00093
907,Sal de mar,Otros,0.0,0,1e-12,0.0,4.0,0.0,0.0,,1e-12,1e-12,1e-12,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.002,0.056,0.07,35.0,0.001,7.4e-05,0.0,0.0001
908,Sal,Otros,0.0,0,0.0,0.0,1e-12,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0002,1e-12,0.29,38.85,0.008,0.0006,1.0000000000000001e-07,
909,Salsa agridulce,Otros,0.0,121,2.38,0.48,71.24,0.8,23.99,,0.695,1.142,0.37,,,,,,0.0,,,,,0.0,0.0,0.0,2e-06,0.0002,1.4999999999999999e-05,2.7e-05,0.0,4.4e-05,0.0,0.018,0.00085,0.066,0.007,0.353,0.009,5.3e-07,,8e-05
910,Salsa al curry,Otros,0.0,78,2.3,0.7,87.9,0.3,9.1,,0.7,0.1,1.3,,,,,,0.0,,,,,1.86e-05,0.0,0.0002,6.9e-06,0.0003,2.9999999999999997e-05,1e-12,0.0,2e-05,1e-12,0.03,0.0011,0.18,0.018,0.98,0.031,1.6000000000000001e-06,2.0000000000000002e-07,0.0002
911,Salsa al roquefort,Otros,0.0,452,47.4874,7.23,46.538,0.0,0.1942,,28.129,4.497,12.772,,,,,,0.038,,,,,0.000117573,7.599999999999999e-08,0.0046626,2.014e-05,0.000266,2.2800000000000002e-05,1.52e-05,2.28e-07,4.5600000000000004e-05,0.0,0.23408,0.00036199999999999996,0.07564,0.01776,0.9332,0.17678,1.48e-05,1e-06,0.000776
912,Salsa barbacoa,Otros,0.0,178,1.8,1.8,51.0,5.91,37.81,,0.8,0.7,0.3,,,,,,0.0,,,,,8.67e-05,0.0,0.0066,3e-06,0.0012,2e-05,2.9999999999999997e-05,0.0,8e-05,0.007,0.019,0.0009,0.17,0.019,0.81,0.02,5.3e-06,1.3e-06,0.0002
913,Salsa bechamel,Otros,0.0,152,10.3,4.1,74.5,0.3,10.8,,3.5,1.8,4.4,,,,,,0.026,,,,,0.00012783,6.2e-07,0.0007099999999999999,4e-06,0.000963,0.00017999999999999998,5e-05,4.0000000000000003e-07,5.9999999999999995e-05,1e-12,0.13,0.0002,0.16,0.015,0.4,0.11,1.9e-05,1e-06,0.0004
914,Salsa boloñesa,Otros,0.0,145,11.1,8.0,76.4,1.1,3.4,,4.7,2.6,3.1,,,,,,0.025,,,,,0.0002125,1e-12,0.0019299999999999999,7e-06,0.0032,0.00011,7.000000000000001e-05,8.000000000000001e-07,0.00016,0.004,0.023,0.0014,0.31,0.014,0.43,0.079,4e-06,2e-06,0.0017
915,Salsa carbonara,Otros,0.0,305,29.9394,7.481,60.039,0.0,2.01,,9.931,1.1171,17.574,,,,,,0.0968,,,,,0.000189837,3.32e-07,0.000502,6.6e-07,0.0009641999999999999,0.0001264,0.0001651,2.98e-07,9.25e-05,0.0,0.03515,0.000332,0.133,0.00928,0.1851,0.07815000000000001,5.3e-06,3e-06,0.0007481
916,Salsa de queso,Otros,0.0,110,6.1,5.3,77.03,0.5,8.4,,1.704,1.202,2.568,,,,,,0.029,,,,,6.7e-05,9e-08,0.00029,5e-06,0.0014,0.00023,4e-05,5e-07,7.000000000000001e-05,0.001,0.16,0.0001,0.17,0.014,0.46,0.17,1.48e-05,3.2000000000000003e-06,0.0006
917,Salsa de soja,Otros,0.0,64,0.1,8.7,65.08,1.6,6.7,,0.017,0.044,0.011,,,,,,0.0,,,,,0.0,0.0,0.0,1.1e-05,0.0048,0.00013000000000000002,5e-05,0.0,0.0002,0.0,0.019,0.0027,0.36,0.043,5.72,0.21,,8.000000000000001e-07,0.0002
918,Salsa napolitana,Otros,0.0,76,4.7,1.9,86.9,1.4,6.5,,1.4,2.9,0.47,,,,,,0.0,,,,,5.749e-05,0.0,0.00309,5.29e-06,0.001095,1e-12,8.999999999999999e-05,6.3e-07,0.0001,0.0019,0.0334,0.0184,0.21430000000000002,0.0294,0.7732,0.0673,1.4e-05,6e-07,0.0015400000000000001
919,"Salsa siciliana, picante",Otros,0.0,67,4.6,1.3,58.6,1.8,5.2,,3.4,0.63,0.59,,,,,,0.002,,,,,3.161e-05,0.0,0.00164,6.31e-06,0.0039169999999999995,1e-12,8.999999999999999e-05,9.100000000000001e-07,0.00011999999999999999,0.001,0.0356,0.0134,0.1432,0.0373,1.343,0.054200000000000005,1.4e-06,1.4e-06,0.00103
920,"Salsa vinagreta, con aceite de oliva",Otros,0.0,639,71.7573,0.2,21.9,0.0,0.2,,50.4,8.1,10.1,,,,,,1e-12,,,,,3.333e-07,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0002,0.034,0.011,0.7,0.008,0.0,1.6000000000000001e-06,0.0
921,"San jacobo, congelado",Otros,0.0,238,13.34,4.14,52.8,4.52,25.16,,4.2,5.584,2.484,,,,,,0.031,,,,,1.1400000000000001e-05,7e-07,0.00067,1.202e-05,0.004900000000000001,0.00017,0.00041999999999999996,1.341e-05,0.00011,0.0,0.031100000000000003,0.0009699999999999999,0.21430000000000002,0.0208,0.4933,0.18730000000000002,2.16e-05,1.0199999999999999e-05,0.00029
922,Seitán,Otros,0.0,124,2.0,24.0,72.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
923,Sofrito,Otros,0.0,210,20.97,1.11,70.0,1.4,4.71,,14.86,2.14,3.03,,,,,,0.0,,,,,2.625e-05,0.0,0.00349,5.13e-06,0.0007199999999999999,2.9999999999999997e-05,4e-05,0.0,7.000000000000001e-05,0.00652,0.02165,0.00067,0.2535,0.0144,0.49299,0.027190000000000002,0.0,0.0,0.00034
