Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams
22735,0.0,1404.119187,139.151233,14.111629,163.839898,4.472167,26.998319,0.0,39.976336,5.30437,86.014085,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.0,0.0,0.001554,3e-05,0.004719,8.5e-05,0.001546,0.000225,0.000171,0.0,0.000119,0.08053,0.238212,0.007117,0.582783,0.037979,1.46501,0.168526,5e-06,1.7e-05,0.001332,349.86017
22737,0.0,1035.081337,64.527037,93.420084,837.034658,7.325483,19.186417,0.0,22.9663,9.830794,18.815647,0.0,0.0,0.081,0.03,0.114,2.0734,0.366,0.003,0.0,0.0,0.002038,9e-06,0.009867,0.000437,0.024768,0.003193,0.000946,1.8e-05,0.001436,0.306758,0.46346,0.021327,2.133665,0.170682,5.715197,1.369841,0.000176,6.1e-05,0.008007,1036.26938
22747,0.0,1482.416547,120.739813,69.110295,929.53289,5.616897,31.083345,0.0,36.755883,7.800452,64.744214,0.0,0.0,0.0,0.0,0.0,1.292487,0.0,0.0,0.0,0.0,0.001342,1.5e-05,0.005638,0.000193,0.0281,0.003884,0.001007,8e-06,0.000802,0.046912,0.734005,0.010405,2.35549,0.156934,5.300309,1.343665,0.00017,6.3e-05,0.007385,1168.29109
22771,0.0,1384.90956,101.974873,114.790226,578.403018,0.103688,2.099678,0.0,50.296592,14.828641,23.94832,0.0,0.004,5.6,1.1,27.664,2.2045,4.512,0.276,0.0,0.0,0.000989,9e-06,0.010581,0.00026,0.029683,0.002796,0.000532,1.3e-05,0.000802,0.00121,0.652938,0.012459,1.283287,0.161607,3.015267,1.860953,0.000167,9.8e-05,0.010455,818.64065
22775,0.0,1075.392991,102.896414,22.4,246.386801,5.1,17.075,0.0,43.508439,11.091649,40.289617,0.0,0.0,0.0,0.0,0.0,0.583437,0.0,0.0,0.0,0.0,0.000247,2e-06,0.003357,0.000117,0.005415,0.000671,0.000222,3e-06,0.000339,0.0069,0.156373,0.004948,0.603392,0.077255,3.847979,0.359429,9.3e-05,2.8e-05,0.003675,403.59859
22790,0.0,1323.34896,99.446119,88.312636,969.125783,15.731661,19.427479,0.0,42.379179,13.249004,31.719789,0.02,0.012,5.114,1.589,19.806,1.129,2.964,0.206,0.11,0.0,0.006545,6e-06,0.01823,0.000935,0.026144,0.002945,0.00188,8e-06,0.002144,0.177529,1.416638,0.022844,4.109829,0.42992,3.262463,1.296656,0.000137,4.1e-05,0.009864,1204.28683
22803,0.0,1150.385,89.78482,81.14275,564.1134,4.62,4.783,0.0,32.197425,10.69641,32.0647,0.0,0.0,0.0,0.0,0.0,2.0758,0.0,0.0,0.0,0.0,0.001463,9e-06,0.007833,0.000316,0.023461,0.003055,0.000597,1.3e-05,0.000876,0.017195,0.720926,0.013007,1.27869,0.149529,5.128167,1.341133,0.000172,6.3e-05,0.009965,758.9185
22814,0.0,1499.079793,112.931437,85.657109,1003.433634,12.409155,35.826624,0.0,33.414791,7.337728,58.487861,0.0,0.0,0.0,0.0,0.0,1.227432,0.0,0.0,0.0,0.0,0.005112,1.3e-05,0.012246,0.000705,0.015957,0.00301,0.000879,9e-06,0.001378,0.140639,2.255965,0.018226,3.359605,0.399873,6.111844,1.77287,0.000199,4.6e-05,0.010283,1272.81853
22834,0.0,1209.611864,95.310204,53.774497,353.290466,5.988075,35.22397,0.0,28.650963,5.54297,53.347283,0.0,0.0,0.0,0.0,0.0,0.901091,0.0,0.0,0.0,0.0,0.001129,1.2e-05,0.004125,0.000156,0.008225,0.001377,0.000312,7e-06,0.001211,0.017612,1.297425,0.005727,1.048279,0.157785,5.032904,1.083672,0.0001,2.4e-05,0.00583,565.91342
22835,0.0,1195.4,95.497,77.024,685.984,8.282,7.594,0.0,43.6409,11.2484,26.5667,0.0,0.0034,4.76,0.935,23.5144,1.5795,3.8352,0.2346,0.0,0.0,0.003392,7e-06,0.013604,0.000605,0.018922,0.002669,0.000736,1e-05,0.001626,0.1661,1.31635,0.017905,2.33152,0.2253,1.49505,1.39859,0.000113,5.8e-05,0.006751,876.0
22841,0.0,2239.819187,174.640173,144.262629,1342.339899,15.222167,23.838319,0.0,57.803836,21.06037,68.197585,0.0,0.0,0.0,0.0,0.0,4.117,0.0,0.0,0.0,0.0,0.002786,3e-05,0.014543,0.000707,0.063193,0.007083,0.001555,2.6e-05,0.001824,0.10063,0.788143,0.02948,3.406283,0.240992,5.609597,2.529779,0.000283,0.000161,0.014682,1709.27867
22859,0.0,466.59725,16.559799,25.905738,170.649937,5.558174,52.228504,0.0,5.438839,2.599376,4.41699,0.0,0.0,0.0,0.0,0.0,0.5005,0.0,0.0,0.0,0.0,0.000528,2e-06,0.002152,0.000159,0.008523,0.000691,0.000298,3e-06,0.000253,0.079237,0.215807,0.007288,0.5951,0.077412,4.390682,0.377742,9e-05,4.3e-05,0.002587,280.35042
22867,0.0,1781.040778,110.87849,185.346708,658.513268,5.298342,9.23572,0.0,42.969805,15.229042,37.802173,0.0,0.0,0.0,0.0,0.0,2.441294,0.0,0.0,0.0,0.0,0.001201,1e-05,0.00678,0.000318,0.049373,0.003726,0.000858,1.8e-05,0.002233,0.019583,0.507821,0.022595,2.367544,0.2076,4.777322,2.056962,0.000173,0.000118,0.015888,988.52867
22875,0.0,102.235,7.2927,8.2599,49.765875,0.027,0.856,0.0,2.6024,1.13685,2.06055,0.0,0.0,0.0,0.0,0.0,0.250525,0.0,0.0,0.0,0.0,0.000125,1e-06,0.000727,3.3e-05,0.002486,0.000307,6e-05,2e-06,8e-05,6e-05,0.039335,0.001243,0.088085,0.008173,0.092572,0.133785,1.3e-05,7e-06,0.000853,66.25
22876,0.0,977.502871,73.008165,68.111267,578.49659,4.314979,12.144318,0.0,25.001436,9.65857,25.575285,0.0,0.0,0.0,0.0,0.0,2.0372,0.0,0.0,0.0,0.0,0.002139,1.2e-05,0.007067,0.00029,0.020632,0.002628,0.000581,1.3e-05,0.000917,0.012803,0.390167,0.01096,1.094274,0.106154,4.541695,1.109349,0.000175,6e-05,0.007286,746.57491
